from_id,to_id,distance,walk_time,status
G0001,G0002,4,1,open
G0001,G0033,9,2,open
G0002,G0003,8,2,open
G0002,G0034,4,5,open
G0003,G0004,3,5,open
G0003,G0035,14,1,open
G0004,G0005,1,1,open
G0004,G0036,7,2,open
G0005,G0006,17,5,open
G0005,G0037,1,5,open
G0006,G0007,7,5,open
G0006,G0038,14,2,open
G0007,G0008,15,5,open
G0007,G0039,9,1,open
G0008,G0009,6,4,open
G0008,G0040,11,3,open
G0009,G0010,5,2,open
G0009,G0041,11,1,open
G0010,G0011,3,4,open
G0010,G0042,4,3,open
G0011,G0012,12,5,open
G0011,G0043,9,1,open
G0012,G0013,15,5,open
G0012,G0044,4,4,open
G0013,G0014,3,5,open
G0013,G0045,10,5,open
G0014,G0015,12,5,open
G0014,G0046,7,1,open
G0015,G0016,2,2,open
G0015,G0047,10,1,open
G0016,G0017,8,1,open
G0016,G0048,13,3,open
G0017,G0018,15,3,open
G0017,G0049,6,3,open
G0018,G0019,12,2,open
G0018,G0050,9,1,open
G0019,G0020,20,2,open
G0019,G0051,18,2,open
G0020,G0021,6,4,open
G0020,G0052,13,3,open
G0021,G0022,18,2,open
G0021,G0053,11,1,open
G0022,G0023,8,1,open
G0022,G0054,11,4,open
G0023,G0024,9,1,open
G0023,G0055,7,5,open
G0024,G0025,11,2,open
G0024,G0056,16,4,open
G0025,G0026,15,2,open
G0025,G0057,9,2,open
G0026,G0027,8,5,open
G0026,G0058,18,3,open
G0027,G0028,19,4,open
G0027,G0059,19,4,open
G0028,G0029,12,2,open
G0028,G0060,5,5,open
G0029,G0030,16,1,open
G0029,G0061,2,1,open
G0030,G0031,5,2,open
G0030,G0062,14,5,open
G0031,G0032,3,4,open
G0031,G0063,13,5,open
G0032,G0064,15,5,open
G0033,G0034,9,5,open
G0033,G0065,1,1,open
G0034,G0035,18,3,open
G0034,G0066,11,1,open
G0035,G0036,10,4,open
G0035,G0067,6,4,open
G0036,G0037,1,3,open
G0036,G0068,17,2,open
G0037,G0038,17,1,open
G0037,G0069,10,5,open
G0038,G0039,20,2,open
G0038,G0070,5,3,open
G0039,G0040,6,5,open
G0039,G0071,17,1,open
G0040,G0041,20,3,open
G0040,G0072,16,1,open
G0041,G0042,4,3,open
G0041,G0073,10,2,open
G0042,G0043,2,2,open
G0042,G0074,19,1,open
G0043,G0044,3,4,open
G0043,G0075,3,5,open
G0044,G0045,5,2,open
G0044,G0076,16,5,open
G0045,G0046,6,3,open
G0045,G0077,17,5,open
G0046,G0047,14,2,open
G0046,G0078,18,2,open
G0047,G0048,10,4,open
G0047,G0079,12,4,open
G0048,G0049,17,4,open
G0048,G0080,4,2,open
G0049,G0050,8,1,open
G0049,G0081,11,1,open
G0050,G0051,19,5,open
G0050,G0082,8,5,open
G0051,G0052,8,1,open
G0051,G0083,3,1,open
G0052,G0053,8,1,open
G0052,G0084,2,3,open
G0053,G0054,3,5,open
G0053,G0085,8,3,open
G0054,G0055,16,2,open
G0054,G0086,18,2,open
G0055,G0056,19,5,open
G0055,G0087,16,2,open
G0056,G0057,16,4,open
G0056,G0088,7,1,open
G0057,G0058,4,4,open
G0057,G0089,12,4,open
G0058,G0059,14,4,open
G0058,G0090,2,1,open
G0059,G0060,2,4,open
G0059,G0091,11,1,open
G0060,G0061,8,2,open
G0060,G0092,7,5,open
G0061,G0062,15,2,open
G0061,G0093,14,2,open
G0062,G0063,9,4,open
G0062,G0094,8,1,open
G0063,G0064,15,5,open
G0063,G0095,4,1,open
G0064,G0096,18,1,open
G0065,G0066,3,2,open
G0065,G0097,6,4,open
G0066,G0067,16,4,open
G0066,G0098,7,4,open
G0067,G0068,2,2,open
G0067,G0099,13,1,open
G0068,G0069,13,3,open
G0068,G0100,15,3,open
G0069,G0070,14,5,open
G0069,G0101,16,2,open
G0070,G0071,7,3,open
G0070,G0102,7,1,open
G0071,G0072,19,5,open
G0071,G0103,2,3,open
G0072,G0073,2,1,open
G0072,G0104,19,4,open
G0073,G0074,17,5,open
G0073,G0105,6,1,open
G0074,G0075,17,1,open
G0074,G0106,6,1,open
G0075,G0076,20,1,open
G0075,G0107,8,4,open
G0076,G0077,4,5,open
G0076,G0108,8,5,open
G0077,G0078,20,1,open
G0077,G0109,20,1,open
G0078,G0079,14,5,open
G0078,G0110,19,5,open
G0079,G0080,11,3,open
G0079,G0111,7,3,open
G0080,G0081,8,3,open
G0080,G0112,13,2,open
G0081,G0082,10,4,open
G0081,G0113,11,1,open
G0082,G0083,1,4,open
G0082,G0114,20,5,open
G0083,G0084,4,1,open
G0083,G0115,18,2,open
G0084,G0085,17,3,open
G0084,G0116,5,3,open
G0085,G0086,3,2,open
G0085,G0117,12,3,open
G0086,G0087,6,4,open
G0086,G0118,18,3,open
G0087,G0088,20,5,open
G0087,G0119,1,5,open
G0088,G0089,10,1,open
G0088,G0120,5,3,open
G0089,G0090,4,1,open
G0089,G0121,18,2,open
G0090,G0091,9,3,open
G0090,G0122,20,2,open
G0091,G0092,11,2,open
G0091,G0123,9,5,open
G0092,G0093,16,3,open
G0092,G0124,2,1,open
G0093,G0094,14,3,open
G0093,G0125,2,1,open
G0094,G0095,11,2,open
G0094,G0126,9,2,open
G0095,G0096,15,5,open
G0095,G0127,14,5,open
G0096,G0128,1,1,open
G0097,G0098,3,2,open
G0097,G0129,18,1,open
G0098,G0099,12,5,open
G0098,G0130,18,2,open
G0099,G0100,14,2,open
G0099,G0131,2,3,open
G0100,G0101,12,1,open
G0100,G0132,12,2,open
G0101,G0102,8,1,open
G0101,G0133,12,5,open
G0102,G0103,14,5,open
G0102,G0134,5,2,open
G0103,G0104,6,2,open
G0103,G0135,14,1,open
G0104,G0105,6,3,open
G0104,G0136,14,2,open
G0105,G0106,9,2,open
G0105,G0137,4,4,open
G0106,G0107,2,4,open
G0106,G0138,8,2,open
G0107,G0108,15,3,open
G0107,G0139,10,2,open
G0108,G0109,8,1,open
G0108,G0140,7,4,open
G0109,G0110,11,3,open
G0109,G0141,3,3,open
G0110,G0111,12,5,open
G0110,G0142,13,5,open
G0111,G0112,11,1,open
G0111,G0143,4,3,open
G0112,G0113,6,5,open
G0112,G0144,9,1,open
G0113,G0114,4,5,open
G0113,G0145,14,3,open
G0114,G0115,11,4,open
G0114,G0146,20,5,open
G0115,G0116,4,4,open
G0115,G0147,19,2,open
G0116,G0117,9,1,open
G0116,G0148,14,1,open
G0117,G0118,17,5,open
G0117,G0149,7,3,open
G0118,G0119,14,1,open
G0118,G0150,11,5,open
G0119,G0120,11,1,open
G0119,G0151,10,5,open
G0120,G0121,10,4,open
G0120,G0152,11,4,open
G0121,G0122,10,5,open
G0121,G0153,5,2,open
G0122,G0123,14,4,open
G0122,G0154,6,5,open
G0123,G0124,19,3,open
G0123,G0155,13,5,open
G0124,G0125,1,3,open
G0124,G0156,10,2,open
G0125,G0126,14,5,open
G0125,G0157,20,3,open
G0126,G0127,15,4,open
G0126,G0158,15,2,open
G0127,G0128,17,4,open
G0127,G0159,6,1,open
G0128,G0160,10,5,open
G0129,G0130,20,3,open
G0129,G0161,3,2,open
G0130,G0131,10,2,open
G0130,G0162,7,2,open
G0131,G0132,1,1,open
G0131,G0163,8,4,open
G0132,G0133,20,1,open
G0132,G0164,15,4,open
G0133,G0134,19,2,open
G0133,G0165,13,4,open
G0134,G0135,13,2,open
G0134,G0166,5,1,open
G0135,G0136,4,4,open
G0135,G0167,8,2,open
G0136,G0137,17,4,open
G0136,G0168,2,5,open
G0137,G0138,8,1,open
G0137,G0169,15,2,open
G0138,G0139,15,5,open
G0138,G0170,18,5,open
G0139,G0140,11,4,open
G0139,G0171,20,5,open
G0140,G0141,14,5,open
G0140,G0172,15,2,open
G0141,G0142,16,4,open
G0141,G0173,9,2,open
G0142,G0143,9,5,open
G0142,G0174,16,2,open
G0143,G0144,9,4,open
G0143,G0175,3,3,open
G0144,G0145,8,3,open
G0144,G0176,11,3,open
G0145,G0146,18,1,open
G0145,G0177,5,2,open
G0146,G0147,8,4,open
G0146,G0178,5,2,open
G0147,G0148,3,4,open
G0147,G0179,14,3,open
G0148,G0149,18,4,open
G0148,G0180,14,1,open
G0149,G0150,7,4,open
G0149,G0181,13,5,open
G0150,G0151,1,5,open
G0150,G0182,13,4,open
G0151,G0152,1,3,open
G0151,G0183,10,4,open
G0152,G0153,14,5,open
G0152,G0184,18,5,open
G0153,G0154,8,4,open
G0153,G0185,8,3,open
G0154,G0155,14,4,open
G0154,G0186,1,4,open
G0155,G0156,11,4,open
G0155,G0187,6,4,open
G0156,G0157,5,5,open
G0156,G0188,18,1,open
G0157,G0158,13,5,open
G0157,G0189,19,1,open
G0158,G0159,3,4,open
G0158,G0190,5,4,open
G0159,G0160,6,1,open
G0159,G0191,9,4,open
G0160,G0192,11,2,open
G0161,G0162,15,3,open
G0161,G0193,11,4,open
G0162,G0163,9,4,open
G0162,G0194,9,1,open
G0163,G0164,16,1,open
G0163,G0195,18,1,open
G0164,G0165,12,2,open
G0164,G0196,3,1,open
G0165,G0166,1,2,open
G0165,G0197,7,1,open
G0166,G0167,20,2,open
G0166,G0198,8,2,open
G0167,G0168,16,1,open
G0167,G0199,19,2,open
G0168,G0169,15,3,open
G0168,G0200,12,2,open
G0169,G0170,20,5,open
G0169,G0201,4,2,open
G0170,G0171,10,1,open
G0170,G0202,19,1,open
G0171,G0172,10,5,open
G0171,G0203,13,4,open
G0172,G0173,7,1,open
G0172,G0204,19,2,open
G0173,G0174,4,3,open
G0173,G0205,20,1,open
