from_id,to_id,distance,walk_time,status
P0001,P0002,1,9,open
P0001,P0003,61,9,open
P0001,P0004,59,6,open
P0001,P0005,93,1,open
P0001,P0006,88,6,open
P0001,P0007,20,8,open
P0001,P0008,77,2,open
P0001,P0009,49,8,open
P0001,P0010,7,2,open
P0001,P0011,26,4,open
P0001,P0012,7,7,open
P0001,P0013,47,9,open
P0001,P0014,52,5,open
P0001,P0015,2,5,open
P0001,P0016,45,4,open
P0001,P0017,55,8,open
P0001,P0018,60,1,open
P0001,P0019,38,1,open
P0001,P0020,48,8,open
P0001,P0021,53,2,open
P0001,P0022,24,3,open
P0001,P0023,78,6,open
P0001,P0024,27,3,open
P0001,P0025,6,3,open
P0001,P0026,11,4,open
P0001,P0027,56,4,open
P0001,P0028,11,9,open
P0001,P0029,60,10,open
P0001,P0030,22,1,open
P0001,P0031,66,8,open
P0001,P0032,100,9,open
P0001,P0033,73,4,open
P0001,P0034,23,4,open
P0001,P0035,30,10,open
P0001,P0036,50,7,open
P0001,P0037,41,3,open
P0001,P0038,51,10,open
P0001,P0039,51,4,open
P0001,P0040,18,4,open
P0001,P0041,39,1,open
P0001,P0042,13,3,open
P0001,P0043,39,9,open
P0001,P0044,77,4,open
P0001,P0045,1,4,open
P0001,P0046,28,4,open
P0001,P0047,24,2,open
P0001,P0048,83,10,open
P0001,P0049,26,8,open
P0001,P0050,90,6,open
P0001,P0051,98,10,open
P0001,P0052,48,2,open
P0001,P0053,55,2,open
P0001,P0054,82,1,open
P0001,P0055,46,10,open
P0001,P0056,41,7,open
P0001,P0057,87,3,open
P0001,P0058,57,1,open
P0001,P0059,27,8,open
P0001,P0060,34,4,open
P0001,P0061,47,5,open
P0001,P0062,79,2,open
P0001,P0063,82,7,open
P0001,P0064,15,9,open
P0001,P0065,36,10,open
P0001,P0066,49,6,open
P0001,P0067,49,3,open
P0001,P0068,37,4,open
P0001,P0069,64,1,open
P0001,P0070,42,7,open
P0001,P0071,38,3,open
P0001,P0072,37,6,open
P0001,P0073,52,7,open
P0001,P0074,26,7,open
P0001,P0075,46,9,open
P0001,P0076,40,4,open
P0001,P0077,100,3,open
P0001,P0078,78,8,open
P0001,P0079,51,1,open
P0001,P0080,2,5,open
P0002,P0003,45,7,open
P0002,P0004,33,4,open
P0002,P0005,59,8,open
P0002,P0006,74,1,open
P0002,P0007,55,1,open
P0002,P0008,48,5,open
P0002,P0009,99,8,open
P0002,P0010,80,2,open
P0002,P0011,47,9,open
P0002,P0012,32,3,open
P0002,P0013,86,9,open
P0002,P0014,51,7,open
P0002,P0015,32,5,open
P0002,P0016,11,7,open
P0002,P0017,71,6,open
P0002,P0018,39,2,open
P0002,P0019,91,9,open
P0002,P0020,12,10,open
P0002,P0021,97,1,open
P0002,P0022,2,4,open
P0002,P0023,59,3,open
P0002,P0024,40,9,open
P0002,P0025,74,7,open
P0002,P0026,85,6,open
P0002,P0027,1,7,open
P0002,P0028,96,1,open
P0002,P0029,52,1,open
P0002,P0030,29,2,open
P0002,P0031,79,7,open
