from_id,to_id,distance,walk_time,status
P0001,P0002,67,7,open
P0001,P0003,71,1,open
P0001,P0004,81,7,open
P0001,P0005,53,7,open
P0001,P0006,28,4,open
P0001,P0007,43,4,open
P0001,P0008,81,3,open
P0001,P0009,37,8,open
P0001,P0010,57,4,open
P0001,P0011,96,3,open
P0001,P0012,71,3,open
P0001,P0013,75,7,open
P0001,P0014,47,7,open
P0001,P0015,30,5,open
P0001,P0016,88,5,open
P0001,P0017,26,10,open
P0001,P0018,70,9,open
P0001,P0019,40,7,open
P0001,P0020,7,9,open
P0001,P0021,19,1,open
P0001,P0022,80,4,open
P0001,P0023,80,2,open
P0001,P0024,72,4,open
P0001,P0025,32,7,open
P0001,P0026,11,4,open
P0001,P0027,98,10,open
P0001,P0028,5,7,open
P0001,P0029,20,4,open
P0001,P0030,17,3,open
P0001,P0031,53,7,open
P0001,P0032,39,5,open
P0001,P0033,60,9,open
P0001,P0034,72,10,open
P0001,P0035,24,2,open
P0001,P0036,93,9,open
P0001,P0037,83,10,open
P0001,P0038,58,6,open
P0001,P0039,89,10,open
P0001,P0040,29,2,open
P0001,P0041,67,7,open
P0001,P0042,12,8,open
P0001,P0043,14,5,open
P0001,P0044,78,8,open
P0001,P0045,64,2,open
P0001,P0046,70,6,open
P0001,P0047,28,9,open
P0001,P0048,19,5,open
P0001,P0049,51,6,open
P0001,P0050,13,2,open
P0001,P0051,2,6,open
P0001,P0052,24,4,open
P0001,P0053,73,5,open
P0001,P0054,38,9,open
P0001,P0055,73,10,open
P0001,P0056,79,7,open
P0001,P0057,90,5,open
P0001,P0058,33,8,open
P0001,P0059,33,6,open
P0001,P0060,96,7,open
P0001,P0061,99,2,open
P0001,P0062,33,10,open
P0001,P0063,26,1,open
P0001,P0064,85,9,open
P0001,P0065,12,10,open
P0001,P0066,54,4,open
P0001,P0067,50,1,open
P0001,P0068,29,10,open
P0001,P0069,19,2,open
P0001,P0070,96,8,open
P0001,P0071,90,7,open
P0001,P0072,40,10,open
P0001,P0073,96,3,open
P0001,P0074,81,7,open
P0001,P0075,56,1,open
P0001,P0076,98,3,open
P0001,P0077,96,9,open
P0001,P0078,3,6,open
P0001,P0079,63,8,open
P0001,P0080,89,9,open
P0002,P0003,32,4,open
P0002,P0004,80,6,open
P0002,P0005,15,6,open
P0002,P0006,96,4,open
P0002,P0007,92,4,open
P0002,P0008,14,7,open
P0002,P0009,87,1,open
P0002,P0010,29,4,open
P0002,P0011,79,3,open
P0002,P0012,4,4,open
P0002,P0013,14,8,open
P0002,P0014,1,7,open
P0002,P0015,43,9,open
P0002,P0016,3,2,open
P0002,P0017,81,6,open
P0002,P0018,57,4,open
P0002,P0019,87,4,open
P0002,P0020,4,5,open
P0002,P0021,81,3,open
P0002,P0022,49,4,open
P0002,P0023,27,2,open
P0002,P0024,99,1,open
P0002,P0025,5,10,open
P0002,P0026,84,6,open
P0002,P0027,52,4,open
P0002,P0028,90,6,open
P0002,P0029,51,6,open
P0002,P0030,28,7,open
P0002,P0031,75,4,open
P0002,P0032,20,3,open
P0002,P0033,22,8,open
P0002,P0034,8,9,open
P0002,P0035,43,3,open
P0002,P0036,44,8,open
P0002,P0037,64,8,open
P0002,P0038,10,10,open
P0002,P0039,18,4,open
P0002,P0040,62,4,open
P0002,P0041,52,5,open
P0002,P0042,84,7,open
P0002,P0043,14,7,open
P0002,P0044,32,5,open
P0002,P0045,26,5,open
P0002,P0046,73,8,open
P0002,P0047,43,2,open
P0002,P0048,12,8,open
P0002,P0049,73,5,open
P0002,P0050,14,3,open
P0002,P0051,38,5,open
P0002,P0052,18,4,open
P0002,P0053,74,1,open
P0002,P0054,92,3,open
P0002,P0055,42,5,open
P0002,P0056,49,6,open
P0002,P0057,47,1,open
P0002,P0058,59,8,open
P0002,P0059,52,10,open
P0002,P0060,75,1,open
P0002,P0061,69,6,open
P0002,P0062,25,8,open
P0002,P0063,44,5,open
P0002,P0064,96,6,open
P0002,P0065,44,5,open
P0002,P0066,23,9,open
P0002,P0067,46,1,open
P0002,P0068,80,5,open
P0002,P0069,6,2,open
P0002,P0070,6,1,open
P0002,P0071,4,7,open
P0002,P0072,33,5,open
P0002,P0073,36,3,open
P0002,P0074,14,4,open
P0002,P0075,32,5,open
P0002,P0076,50,8,open
P0002,P0077,73,3,open
P0002,P0078,40,8,open
P0002,P0079,31,9,open
P0002,P0080,25,7,open
P0003,P0004,41,9,open
P0003,P0005,6,3,open
P0003,P0006,86,9,open
P0003,P0007,48,10,open
P0003,P0008,79,9,open
P0003,P0009,31,3,open
P0003,P0010,65,5,open
P0003,P0011,18,4,open
P0003,P0012,48,4,open
P0003,P0013,69,1,open
P0003,P0014,18,4,open
P0003,P0015,49,7,open
P0003,P0016,36,6,open
P0003,P0017,34,5,open
P0003,P0018,15,8,open
P0003,P0019,27,4,open
P0003,P0020,50,3,open
P0003,P0021,84,9,open
P0003,P0022,34,6,open
P0003,P0023,18,5,open
P0003,P0024,65,10,open
P0003,P0025,42,3,open
P0003,P0026,40,7,open
P0003,P0027,79,10,open
P0003,P0028,6,9,open
P0003,P0029,31,4,open
P0003,P0030,83,8,open
P0003,P0031,85,8,open
P0003,P0032,43,4,open
P0003,P0033,71,9,open
P0003,P0034,32,8,open
P0003,P0035,53,9,open
P0003,P0036,6,2,open
P0003,P0037,55,4,open
P0003,P0038,7,1,open
P0003,P0039,86,3,open
P0003,P0040,34,1,open
P0003,P0041,42,2,open
P0003,P0042,18,6,open
P0003,P0043,96,4,open
P0003,P0044,3,1,open
P0003,P0045,62,9,open
P0003,P0046,18,10,open
P0003,P0047,95,7,open
P0003,P0048,25,5,open
P0003,P0049,13,7,open
P0003,P0050,51,5,open
P0003,P0051,53,1,open
P0003,P0052,85,5,open
P0003,P0053,82,5,open
P0003,P0054,57,10,open
P0003,P0055,41,10,open
P0003,P0056,35,9,open
P0003,P0057,51,3,open
P0003,P0058,97,5,open
P0003,P0059,78,9,open
P0003,P0060,57,1,open
P0003,P0061,61,7,open
P0003,P0062,33,1,open
P0003,P0063,62,3,open
P0003,P0064,33,5,open
P0003,P0065,57,3,open
P0003,P0066,85,5,open
P0003,P0067,24,10,open
P0003,P0068,58,3,open
P0003,P0069,90,1,open
P0003,P0070,24,5,open
P0003,P0071,85,3,open
P0003,P0072,52,3,open
P0003,P0073,55,8,open
P0003,P0074,56,10,open
P0003,P0075,36,9,open
P0003,P0076,63,3,open
P0003,P0077,71,10,open
P0003,P0078,19,10,open
P0003,P0079,45,6,open
P0003,P0080,95,9,open
P0004,P0005,56,6,open
P0004,P0006,3,3,open
P0004,P0007,80,1,open
P0004,P0008,81,8,open
P0004,P0009,32,1,open
P0004,P0010,21,8,open
P0004,P0011,24,10,open
P0004,P0012,52,2,open
P0004,P0013,15,9,open
P0004,P0014,23,10,open
P0004,P0015,20,9,open
P0004,P0016,2,9,open
P0004,P0017,87,4,open
P0004,P0018,50,6,open
P0004,P0019,49,1,open
P0004,P0020,61,4,open
P0004,P0021,59,3,open
P0004,P0022,82,7,open
P0004,P0023,34,6,open
P0004,P0024,15,6,open
P0004,P0025,96,8,open
P0004,P0026,22,2,open
P0004,P0027,27,5,open
P0004,P0028,36,1,open
P0004,P0029,93,1,open
P0004,P0030,34,5,open
P0004,P0031,1,8,open
P0004,P0032,49,1,open
P0004,P0033,67,9,open
P0004,P0034,54,8,open
P0004,P0035,40,4,open
P0004,P0036,4,10,open
P0004,P0037,23,10,open
P0004,P0038,40,5,open
P0004,P0039,99,7,open
P0004,P0040,77,8,open
P0004,P0041,51,9,open
P0004,P0042,86,5,open
P0004,P0043,30,9,open
P0004,P0044,39,9,open
P0004,P0045,94,10,open
P0004,P0046,16,3,open
P0004,P0047,59,10,open
P0004,P0048,21,4,open
P0004,P0049,35,8,open
P0004,P0050,56,4,open
P0004,P0051,41,4,open
P0004,P0052,4,8,open
P0004,P0053,97,4,open
P0004,P0054,67,2,open
P0004,P0055,5,9,open
P0004,P0056,87,6,open
P0004,P0057,16,7,open
P0004,P0058,34,5,open
P0004,P0059,84,7,open
P0004,P0060,9,3,open
P0004,P0061,31,10,open
P0004,P0062,28,7,open
P0004,P0063,30,4,open
P0004,P0064,51,8,open
P0004,P0065,87,7,open
P0004,P0066,15,1,open
P0004,P0067,94,9,open
P0004,P0068,84,7,open
P0004,P0069,90,5,open
P0004,P0070,64,3,open
P0004,P0071,27,6,open
P0004,P0072,19,6,open
P0004,P0073,67,6,open
P0004,P0074,32,8,open
P0004,P0075,30,2,open
P0004,P0076,91,3,open
P0004,P0077,4,6,open
P0004,P0078,56,6,open
P0004,P0079,10,7,open
P0004,P0080,39,7,open
P0005,P0006,19,10,open
P0005,P0007,35,5,open
P0005,P0008,83,5,open
P0005,P0009,46,7,open
P0005,P0010,96,6,open
P0005,P0011,9,10,open
P0005,P0012,43,3,open
P0005,P0013,59,1,open
P0005,P0014,17,8,open
P0005,P0015,69,8,open
P0005,P0016,52,4,open
P0005,P0017,2,7,open
P0005,P0018,41,6,open
P0005,P0019,98,8,open
P0005,P0020,18,4,open
P0005,P0021,29,7,open
P0005,P0022,25,5,open
P0005,P0023,91,2,open
P0005,P0024,14,8,open
P0005,P0025,21,1,open
P0005,P0026,53,1,open
P0005,P0027,88,4,open
P0005,P0028,85,5,open
P0005,P0029,5,5,open
P0005,P0030,47,5,open
P0005,P0031,11,1,open
P0005,P0032,14,2,open
P0005,P0033,62,6,open
P0005,P0034,50,1,open
P0005,P0035,5,6,open
P0005,P0036,70,6,open
P0005,P0037,49,6,open
P0005,P0038,82,4,open
P0005,P0039,23,10,open
P0005,P0040,42,2,open
P0005,P0041,65,2,open
P0005,P0042,34,10,open
P0005,P0043,44,4,open
P0005,P0044,36,2,open
P0005,P0045,6,3,open
P0005,P0046,97,7,open
P0005,P0047,69,8,open
P0005,P0048,22,1,open
P0005,P0049,76,3,open
P0005,P0050,24,5,open
P0005,P0051,67,5,open
P0005,P0052,37,9,open
P0005,P0053,68,5,open
P0005,P0054,20,9,open
P0005,P0055,70,1,open
P0005,P0056,25,8,open
P0005,P0057,43,4,open
P0005,P0058,55,6,open
P0005,P0059,54,5,open
P0005,P0060,58,8,open
P0005,P0061,4,2,open
P0005,P0062,73,10,open
P0005,P0063,50,10,open
P0005,P0064,27,6,open
P0005,P0065,48,7,open
P0005,P0066,24,10,open
P0005,P0067,50,9,open
P0005,P0068,47,7,open
P0005,P0069,23,8,open
P0005,P0070,38,6,open
P0005,P0071,33,3,open
P0005,P0072,58,7,open
P0005,P0073,14,8,open
P0005,P0074,77,6,open
P0005,P0075,25,8,open
P0005,P0076,49,2,open
P0005,P0077,46,8,open
P0005,P0078,23,10,open
P0005,P0079,48,5,open
P0005,P0080,34,8,open
P0006,P0007,22,2,open
P0006,P0008,73,10,open
P0006,P0009,22,7,open
P0006,P0010,23,1,open
P0006,P0011,62,6,open
P0006,P0012,40,4,open
P0006,P0013,49,7,open
P0006,P0014,70,6,open
P0006,P0015,58,5,open
P0006,P0016,91,3,open
P0006,P0017,85,6,open
P0006,P0018,69,7,open
P0006,P0019,3,6,open
