place_id,display_name,category,stay_time,open_time,close_time
C0001,Node1,Other,0,00:00,23:59
C0002,Node2,Other,0,00:00,23:59
C0003,Node3,Other,0,00:00,23:59
C0004,Node4,Other,0,00:00,23:59
C0005,Node5,Other,0,00:00,23:59
C0006,Node6,Other,0,00:00,23:59
C0007,Node7,Other,0,00:00,23:59
C0008,Node8,Other,0,00:00,23:59
C0009,Node9,Other,0,00:00,23:59
C0010,Node10,Other,0,00:00,23:59
C0011,Node11,Other,0,00:00,23:59
C0012,Node12,Other,0,00:00,23:59
C0013,Node13,Other,0,00:00,23:59
C0014,Node14,Other,0,00:00,23:59
C0015,Node15,Other,0,00:00,23:59
C0016,Node16,Other,0,00:00,23:59
C0017,Node17,Other,0,00:00,23:59
C0018,Node18,Other,0,00:00,23:59
C0019,Node19,Other,0,00:00,23:59
C0020,Node20,Other,0,00:00,23:59
C0021,Node21,Other,0,00:00,23:59
C0022,Node22,Other,0,00:00,23:59
C0023,Node23,Other,0,00:00,23:59
C0024,Node24,Other,0,00:00,23:59
C0025,Node25,Other,0,00:00,23:59
C0026,Node26,Other,0,00:00,23:59
C0027,Node27,Other,0,00:00,23:59
C0028,Node28,Other,0,00:00,23:59
C0029,Node29,Other,0,00:00,23:59
C0030,Node30,Other,0,00:00,23:59
C0031,Node31,Other,0,00:00,23:59
C0032,Node32,Other,0,00:00,23:59
C0033,Node33,Other,0,00:00,23:59
C0034,Node34,Other,0,00:00,23:59
C0035,Node35,Other,0,00:00,23:59
C0036,Node36,Other,0,00:00,23:59
C0037,Node37,Other,0,00:00,23:59
C0038,Node38,Other,0,00:00,23:59
C0039,Node39,Other,0,00:00,23:59
C0040,Node40,Other,0,00:00,23:59
C0041,Node41,Other,0,00:00,23:59
C0042,Node42,Other,0,00:00,23:59
C0043,Node43,Other,0,00:00,23:59
C0044,Node44,Other,0,00:00,23:59
C0045,Node45,Other,0,00:00,23:59
C0046,Node46,Other,0,00:00,23:59
C0047,Node47,Other,0,00:00,23:59
C0048,Node48,Other,0,00:00,23:59
C0049,Node49,Other,0,00:00,23:59
C0050,Node50,Other,0,00:00,23:59
C0051,Node51,Other,0,00:00,23:59
C0052,Node52,Other,0,00:00,23:59
C0053,Node53,Other,0,00:00,23:59
C0054,Node54,Other,0,00:00,23:59
C0055,Node55,Other,0,00:00,23:59
C0056,Node56,Other,0,00:00,23:59
C0057,Node57,Other,0,00:00,23:59
C0058,Node58,Other,0,00:00,23:59
C0059,Node59,Other,0,00:00,23:59
C0060,Node60,Other,0,00:00,23:59
