from_id,to_id,distance,walk_time,status
C0001,C0002,2,5,open
C0001,C0003,9,2,open
C0001,C0004,35,2,open
C0001,C0005,3,1,open
C0001,C0006,15,9,open
C0001,C0007,36,4,open
C0001,C0008,45,9,open
C0001,C0009,29,10,open
C0001,C0010,1,3,open
C0001,C0011,22,5,open
C0001,C0012,49,6,open
C0001,C0013,25,2,open
C0001,C0014,23,10,open
C0001,C0015,3,8,open
C0001,C0016,25,2,open
C0001,C0017,41,10,open
C0001,C0019,13,2,open
C0001,C0020,15,5,open
C0001,C0024,30,6,open
C0001,C0025,23,4,open
C0001,C0026,45,2,open
C0001,C0027,11,9,open
C0001,C0028,11,8,open
C0001,C0029,41,9,open
C0001,C0030,21,1,open
C0002,C0003,3,6,open
C0002,C0004,5,4,open
C0002,C0006,46,6,open
C0002,C0007,32,7,open
C0002,C0009,10,5,open
C0002,C0010,48,9,open
C0002,C0011,48,10,open
C0002,C0012,38,7,open
C0002,C0013,9,9,open
C0002,C0014,49,1,open
C0002,C0016,11,7,open
C0002,C0017,25,7,open
C0002,C0018,30,9,open
C0002,C0019,36,1,open
C0002,C0020,8,9,open
C0002,C0021,50,6,open
C0002,C0022,28,3,open
C0002,C0023,47,5,open
C0002,C0025,33,2,open
C0002,C0027,41,9,open
C0002,C0028,10,6,open
C0002,C0029,35,9,open
C0003,C0004,32,1,open
C0003,C0005,24,5,open
C0003,C0006,16,10,open
C0003,C0008,32,2,open
C0003,C0010,9,3,open
C0003,C0011,36,3,open
C0003,C0012,39,7,open
C0003,C0015,45,4,open
C0003,C0016,26,6,open
C0003,C0017,34,8,open
C0003,C0018,15,2,open
C0003,C0019,38,9,open
C0003,C0020,15,1,open
C0003,C0021,41,1,open
C0003,C0022,3,6,open
C0003,C0023,16,5,open
C0003,C0024,14,9,open
C0003,C0025,37,10,open
C0003,C0026,31,7,open
C0003,C0027,7,7,open
C0003,C0028,27,8,open
C0003,C0030,42,2,open
C0004,C0005,47,6,open
C0004,C0007,13,4,open
C0004,C0008,9,7,open
C0004,C0009,30,4,open
C0004,C0011,36,2,open
C0004,C0012,35,1,open
C0004,C0016,32,8,open
C0004,C0017,26,1,open
C0004,C0018,1,7,open
C0004,C0019,30,5,open
C0004,C0020,47,9,open
C0004,C0021,32,3,open
C0004,C0022,14,1,open
C0004,C0023,35,1,open
C0004,C0024,4,1,open
C0004,C0025,33,9,open
C0004,C0026,33,2,open
C0004,C0028,5,4,open
C0004,C0029,37,4,open
C0004,C0030,3,10,open
C0005,C0006,43,10,open
C0005,C0007,21,5,open
C0005,C0008,46,6,open
C0005,C0009,26,3,open
C0005,C0010,20,8,open
C0005,C0011,49,2,open
C0005,C0012,40,10,open
C0005,C0014,14,9,open
C0005,C0015,23,2,open
