from_id,to_id,distance,walk_time,status
P0001,P0002,82,2,open
P0001,P0003,4,5,open
P0001,P0004,32,4,open
P0001,P0005,18,2,open
P0001,P0006,87,9,open
P0001,P0007,12,10,open
P0001,P0008,55,1,open
P0001,P0009,4,2,open
P0001,P0010,28,4,open
P0001,P0011,65,10,open
P0001,P0012,4,9,open
P0001,P0013,26,9,open
P0001,P0014,54,4,open
P0001,P0015,58,10,open
P0001,P0016,36,1,open
P0001,P0017,98,3,open
P0001,P0018,90,7,open
P0001,P0019,44,5,open
P0001,P0020,20,4,open
P0001,P0021,98,6,open
P0001,P0022,14,2,open
P0001,P0023,49,2,open
P0001,P0024,46,6,open
P0001,P0025,78,5,open
P0001,P0026,6,8,open
P0001,P0027,69,2,open
P0001,P0028,49,2,open
P0001,P0029,71,5,open
P0001,P0030,81,10,open
P0001,P0031,47,10,open
P0001,P0032,25,2,open
P0001,P0033,6,4,open
P0001,P0034,99,5,open
P0001,P0035,11,4,open
P0001,P0036,13,7,open
P0001,P0037,36,8,open
P0001,P0038,82,6,open
P0001,P0039,21,6,open
P0001,P0040,46,4,open
P0001,P0041,86,5,open
P0001,P0042,90,2,open
P0001,P0043,78,3,open
P0001,P0044,69,4,open
P0001,P0045,21,8,open
P0001,P0046,49,5,open
P0001,P0047,82,9,open
P0001,P0048,29,6,open
P0001,P0049,99,1,open
P0001,P0050,30,1,open
P0001,P0051,41,7,open
P0001,P0052,35,2,open
P0001,P0053,28,10,open
P0001,P0054,92,6,open
P0001,P0055,28,8,open
P0001,P0056,51,8,open
P0001,P0057,19,5,open
P0001,P0058,18,4,open
P0001,P0059,96,9,open
P0001,P0060,69,5,open
P0001,P0061,96,10,open
P0001,P0062,55,10,open
P0001,P0063,52,6,open
P0001,P0064,29,3,open
P0001,P0065,66,8,open
P0001,P0066,12,1,open
P0001,P0067,15,3,open
P0001,P0068,81,3,open
P0001,P0069,88,7,open
P0001,P0070,77,2,open
P0001,P0071,50,7,open
P0001,P0072,77,8,open
P0001,P0073,68,5,open
P0001,P0074,71,1,open
P0001,P0075,88,2,open
P0001,P0076,88,9,open
P0001,P0077,97,5,open
P0001,P0078,99,6,open
P0001,P0079,15,5,open
P0001,P0080,56,3,open
P0001,P0081,59,1,open
P0001,P0082,93,5,open
P0001,P0083,65,3,open
P0001,P0084,65,2,open
P0001,P0085,81,5,open
P0001,P0086,82,9,open
P0001,P0087,78,4,open
P0001,P0088,20,6,open
P0001,P0089,98,3,open
P0001,P0090,70,9,open
P0001,P0091,1,10,open
P0001,P0092,42,8,open
P0001,P0093,3,2,open
P0001,P0094,47,5,open
P0001,P0095,31,1,open
P0001,P0096,31,10,open
P0001,P0097,11,2,open
P0001,P0098,94,8,open
P0001,P0099,9,9,open
P0001,P0100,99,3,open
P0002,P0003,17,8,open
P0002,P0004,71,3,open
P0002,P0005,34,9,open
P0002,P0006,78,7,open
P0002,P0007,28,9,open
P0002,P0008,97,4,open
P0002,P0009,92,5,open
P0002,P0010,52,6,open
P0002,P0011,57,9,open
P0002,P0012,58,2,open
P0002,P0013,32,4,open
P0002,P0014,9,6,open
P0002,P0015,3,10,open
P0002,P0016,71,4,open
P0002,P0017,76,4,open
P0002,P0018,1,2,open
P0002,P0019,91,1,open
P0002,P0020,30,2,open
P0002,P0021,5,6,open
P0002,P0022,10,9,open
P0002,P0023,31,5,open
P0002,P0024,86,8,open
P0002,P0025,28,9,open
P0002,P0026,17,10,open
P0002,P0027,74,8,open
P0002,P0028,32,8,open
P0002,P0029,53,4,open
P0002,P0030,13,2,open
P0002,P0031,85,7,open
P0002,P0032,46,7,open
P0002,P0033,53,8,open
P0002,P0034,94,1,open
P0002,P0035,87,2,open
P0002,P0036,8,7,open
P0002,P0037,94,6,open
P0002,P0038,14,4,open
P0002,P0039,25,4,open
P0002,P0040,69,8,open
P0002,P0041,18,7,open
P0002,P0042,24,5,open
P0002,P0043,60,4,open
P0002,P0044,10,8,open
P0002,P0045,71,2,open
P0002,P0046,7,9,open
P0002,P0047,2,2,open
P0002,P0048,97,4,open
P0002,P0049,22,7,open
P0002,P0050,63,8,open
P0002,P0051,28,7,open
P0002,P0052,8,3,open
P0002,P0053,49,1,open
P0002,P0054,50,5,open
P0002,P0055,59,5,open
P0002,P0056,55,9,open
P0002,P0057,85,8,open
P0002,P0058,20,4,open
P0002,P0059,38,4,open
P0002,P0060,8,10,open
P0002,P0061,95,9,open
P0002,P0062,8,6,open
P0002,P0063,8,1,open
P0002,P0064,75,8,open
P0002,P0065,65,9,open
P0002,P0066,21,1,open
P0002,P0067,66,2,open
P0002,P0068,24,2,open
P0002,P0069,77,2,open
P0002,P0070,87,4,open
P0002,P0071,52,2,open
P0002,P0072,73,4,open
P0002,P0073,75,10,open
P0002,P0074,6,10,open
P0002,P0075,11,7,open
P0002,P0076,85,10,open
P0002,P0077,73,9,open
P0002,P0078,41,5,open
P0002,P0079,27,6,open
P0002,P0080,31,5,open
P0002,P0081,51,3,open
P0002,P0082,86,5,open
P0002,P0083,59,6,open
P0002,P0084,97,2,open
P0002,P0085,2,8,open
P0002,P0086,80,10,open
P0002,P0087,13,2,open
P0002,P0088,69,4,open
P0002,P0089,65,5,open
P0002,P0090,17,6,open
P0002,P0091,9,4,open
P0002,P0092,48,5,open
P0002,P0093,21,8,open
P0002,P0094,70,5,open
P0002,P0095,79,9,open
P0002,P0096,2,9,open
P0002,P0097,39,2,open
P0002,P0098,18,5,open
P0002,P0099,15,2,open
P0002,P0100,96,9,open
P0003,P0004,20,5,open
P0003,P0005,37,10,open
P0003,P0006,27,6,open
P0003,P0007,27,5,open
P0003,P0008,65,8,open
P0003,P0009,33,1,open
P0003,P0010,12,7,open
P0003,P0011,36,1,open
P0003,P0012,1,6,open
P0003,P0013,99,3,open
P0003,P0014,82,5,open
P0003,P0015,21,8,open
P0003,P0016,71,7,open
P0003,P0017,72,1,open
P0003,P0018,15,2,open
P0003,P0019,89,3,open
P0003,P0020,70,1,open
P0003,P0021,48,10,open
P0003,P0022,71,3,open
P0003,P0023,56,3,open
P0003,P0024,6,5,open
P0003,P0025,47,1,open
P0003,P0026,46,4,open
P0003,P0027,88,4,open
P0003,P0028,86,2,open
P0003,P0029,46,9,open
P0003,P0030,53,10,open
P0003,P0031,96,3,open
P0003,P0032,31,3,open
P0003,P0033,23,7,open
P0003,P0034,4,3,open
P0003,P0035,95,6,open
P0003,P0036,53,4,open
P0003,P0037,35,3,open
P0003,P0038,90,2,open
P0003,P0039,49,1,open
P0003,P0040,61,4,open
P0003,P0041,26,8,open
P0003,P0042,45,5,open
P0003,P0043,30,4,open
P0003,P0044,4,4,open
P0003,P0045,52,6,open
P0003,P0046,36,2,open
P0003,P0047,99,5,open
P0003,P0048,45,9,open
P0003,P0049,52,9,open
P0003,P0050,43,1,open
P0003,P0051,15,5,open
P0003,P0052,23,10,open
P0003,P0053,34,1,open
P0003,P0054,14,10,open
P0003,P0055,56,6,open
P0003,P0056,94,6,open
P0003,P0057,56,10,open
P0003,P0058,66,2,open
P0003,P0059,50,10,open
P0003,P0060,25,5,open
P0003,P0061,6,7,open
P0003,P0062,1,9,open
P0003,P0063,69,4,open
P0003,P0064,47,7,open
P0003,P0065,9,6,open
P0003,P0066,80,6,open
P0003,P0067,85,2,open
P0003,P0068,93,5,open
P0003,P0069,65,5,open
P0003,P0070,86,7,open
P0003,P0071,42,7,open
P0003,P0072,90,5,open
P0003,P0073,71,3,open
P0003,P0074,25,7,open
P0003,P0075,86,7,open
P0003,P0076,87,3,open
P0003,P0077,79,10,open
P0003,P0078,39,7,open
P0003,P0079,71,1,open
P0003,P0080,39,5,open
P0003,P0081,27,7,open
P0003,P0082,75,10,open
P0003,P0083,84,6,open
P0003,P0084,60,8,open
P0003,P0085,57,4,open
P0003,P0086,66,8,open
P0003,P0087,95,3,open
P0003,P0088,85,2,open
P0003,P0089,37,9,open
P0003,P0090,85,10,open
P0003,P0091,43,2,open
P0003,P0092,97,4,open
P0003,P0093,87,5,open
P0003,P0094,29,4,open
P0003,P0095,19,1,open
P0003,P0096,6,4,open
P0003,P0097,61,10,open
P0003,P0098,99,2,open
P0003,P0099,59,7,open
P0003,P0100,81,10,open
P0004,P0005,25,7,open
P0004,P0006,64,7,open
P0004,P0007,32,3,open
P0004,P0008,84,1,open
P0004,P0009,97,2,open
P0004,P0010,100,7,open
P0004,P0011,29,3,open
P0004,P0012,90,9,open
P0004,P0013,60,1,open
P0004,P0014,72,4,open
P0004,P0015,16,8,open
P0004,P0016,18,8,open
P0004,P0017,86,9,open
P0004,P0018,72,10,open
P0004,P0019,41,8,open
P0004,P0020,79,9,open
P0004,P0021,55,9,open
P0004,P0022,58,3,open
P0004,P0023,96,8,open
P0004,P0024,58,5,open
P0004,P0025,97,4,open
P0004,P0026,82,5,open
P0004,P0027,99,9,open
P0004,P0028,63,4,open
P0004,P0029,36,8,open
P0004,P0030,10,5,open
P0004,P0031,31,5,open
P0004,P0032,43,6,open
P0004,P0033,70,2,open
P0004,P0034,18,3,open
P0004,P0035,30,7,open
P0004,P0036,89,3,open
P0004,P0037,91,4,open
P0004,P0038,9,7,open
P0004,P0039,53,6,open
P0004,P0040,70,8,open
P0004,P0041,54,1,open
P0004,P0042,27,7,open
P0004,P0043,50,10,open
P0004,P0044,90,1,open
P0004,P0045,98,10,open
P0004,P0046,49,8,open
P0004,P0047,1,6,open
P0004,P0048,39,7,open
P0004,P0049,54,9,open
P0004,P0050,96,9,open
P0004,P0051,78,4,open
P0004,P0052,63,4,open
P0004,P0053,35,7,open
P0004,P0054,63,1,open
P0004,P0055,50,6,open
P0004,P0056,86,7,open
P0004,P0057,93,3,open
P0004,P0058,60,3,open
P0004,P0059,80,9,open
P0004,P0060,4,7,open
P0004,P0061,76,10,open
P0004,P0062,85,1,open
P0004,P0063,11,7,open
P0004,P0064,18,8,open
P0004,P0065,24,1,open
P0004,P0066,34,7,open
P0004,P0067,42,4,open
P0004,P0068,59,6,open
P0004,P0069,44,7,open
P0004,P0070,36,7,open
P0004,P0071,33,2,open
P0004,P0072,61,1,open
P0004,P0073,96,9,open
P0004,P0074,7,6,open
P0004,P0075,29,2,open
P0004,P0076,100,1,open
P0004,P0077,97,1,open
P0004,P0078,32,4,open
P0004,P0079,3,10,open
P0004,P0080,20,4,open
P0004,P0081,17,8,open
P0004,P0082,86,2,open
P0004,P0083,73,4,open
P0004,P0084,60,5,open
P0004,P0085,99,6,open
P0004,P0086,22,10,open
P0004,P0087,78,2,open
P0004,P0088,100,3,open
P0004,P0089,40,2,open
P0004,P0090,75,1,open
P0004,P0091,40,10,open
P0004,P0092,87,7,open
P0004,P0093,51,4,open
P0004,P0094,10,10,open
P0004,P0095,89,4,open
P0004,P0096,14,5,open
P0004,P0097,88,10,open
P0004,P0098,16,10,open
P0004,P0099,6,6,open
P0004,P0100,69,7,open
P0005,P0006,85,6,open
P0005,P0007,9,9,open
P0005,P0008,83,6,open
P0005,P0009,2,7,open
P0005,P0010,63,2,open
P0005,P0011,56,6,open
P0005,P0012,82,8,open
P0005,P0013,91,3,open
P0005,P0014,56,3,open
P0005,P0015,94,9,open
P0005,P0016,84,5,open
P0005,P0017,79,9,open
P0005,P0018,100,8,open
P0005,P0019,60,7,open
P0005,P0020,94,10,open
P0005,P0021,35,6,open
P0005,P0022,32,2,open
P0005,P0023,36,8,open
P0005,P0024,32,8,open
P0005,P0025,73,10,open
P0005,P0026,86,7,open
P0005,P0027,44,1,open
P0005,P0028,64,6,open
P0005,P0029,24,8,open
P0005,P0030,28,6,open
P0005,P0031,34,6,open
P0005,P0032,36,10,open
P0005,P0033,90,5,open
P0005,P0034,72,1,open
P0005,P0035,67,4,open
P0005,P0036,11,4,open
P0005,P0037,93,7,open
P0005,P0038,63,9,open
P0005,P0039,98,4,open
P0005,P0040,89,8,open
P0005,P0041,83,8,open
P0005,P0042,58,1,open
P0005,P0043,12,5,open
P0005,P0044,29,7,open
P0005,P0045,89,4,open
P0005,P0046,40,10,open
P0005,P0047,48,8,open
P0005,P0048,71,9,open
P0005,P0049,45,7,open
P0005,P0050,96,9,open
P0005,P0051,43,6,open
P0005,P0052,90,8,open
P0005,P0053,35,5,open
P0005,P0054,33,4,open
P0005,P0055,16,4,open
P0005,P0056,41,2,open
P0005,P0057,96,9,open
P0005,P0058,98,3,open
P0005,P0059,25,4,open
P0005,P0060,95,8,open
P0005,P0061,36,10,open
P0005,P0062,98,9,open
P0005,P0063,77,5,open
P0005,P0064,13,4,open
P0005,P0065,38,4,open
P0005,P0066,47,3,open
P0005,P0067,39,1,open
P0005,P0068,91,9,open
P0005,P0069,17,5,open
P0005,P0070,6,1,open
P0005,P0071,71,5,open
P0005,P0072,90,3,open
P0005,P0073,82,8,open
P0005,P0074,14,1,open
P0005,P0075,74,5,open
P0005,P0076,61,8,open
P0005,P0077,57,6,open
P0005,P0078,24,1,open
P0005,P0079,33,8,open
P0005,P0080,15,2,open
P0005,P0081,52,8,open
P0005,P0082,10,10,open
P0005,P0083,81,1,open
P0005,P0084,20,3,open
P0005,P0085,73,5,open
P0005,P0086,11,4,open
P0005,P0087,16,9,open
P0005,P0088,98,7,open
P0005,P0089,78,10,open
P0005,P0090,80,4,open
P0005,P0091,100,9,open
P0005,P0092,49,8,open
P0005,P0093,57,5,open
P0005,P0094,76,7,open
P0005,P0095,40,10,open
P0005,P0096,80,1,open
P0005,P0097,79,2,open
P0005,P0098,98,4,open
P0005,P0099,81,4,open
P0005,P0100,34,2,open
P0006,P0007,21,4,open
P0006,P0008,23,9,open
P0006,P0009,10,3,open
P0006,P0010,1,7,open
P0006,P0011,58,10,open
P0006,P0012,61,5,open
P0006,P0013,5,4,open
P0006,P0014,37,5,open
P0006,P0015,90,8,open
P0006,P0016,10,4,open
P0006,P0017,34,10,open
P0006,P0018,85,4,open
P0006,P0019,55,2,open
P0006,P0020,70,4,open
P0006,P0021,83,3,open
P0006,P0022,35,3,open
P0006,P0023,10,1,open
P0006,P0024,22,5,open
P0006,P0025,77,10,open
P0006,P0026,37,8,open
P0006,P0027,16,8,open
P0006,P0028,89,5,open
P0006,P0029,90,7,open
P0006,P0030,35,9,open
P0006,P0031,70,8,open
P0006,P0032,57,2,open
P0006,P0033,77,1,open
P0006,P0034,56,6,open
P0006,P0035,78,5,open
P0006,P0036,4,2,open
P0006,P0037,30,10,open
P0006,P0038,76,1,open
P0006,P0039,98,5,open
P0006,P0040,74,1,open
P0006,P0041,98,3,open
P0006,P0042,61,9,open
P0006,P0043,84,8,open
P0006,P0044,36,3,open
P0006,P0045,75,7,open
P0006,P0046,82,8,open
P0006,P0047,12,8,open
P0006,P0048,45,7,open
P0006,P0049,43,6,open
P0006,P0050,86,2,open
P0006,P0051,21,6,open
P0006,P0052,53,8,open
P0006,P0053,37,7,open
P0006,P0054,98,9,open
