from_id,to_id,distance,walk_time,status
P0001,P0002,237,89,open
P0002,P0003,945,33,open
P0003,P0004,577,44,open
P0004,P0005,33,41,open
P0005,P0006,944,9,open
P0006,P0007,168,10,open
P0007,P0008,272,94,open
P0008,P0009,978,84,open
P0009,P0010,415,49,open
P0010,P0011,451,58,open
P0011,P0012,761,17,open
P0012,P0013,455,86,open
P0013,P0014,192,2,open
P0014,P0015,108,97,open
P0015,P0016,599,34,open
P0016,P0017,935,49,open
P0017,P0018,85,35,open
P0018,P0019,490,50,open
P0019,P0020,441,91,open
P0020,P0021,149,43,open
P0021,P0022,741,70,open
P0022,P0023,338,43,open
P0023,P0024,319,27,open
P0024,P0025,89,51,open
P0025,P0026,602,23,open
P0026,P0027,966,91,open
P0027,P0028,314,67,open
P0028,P0029,274,38,open
P0029,P0030,818,53,open
P0030,P0031,430,45,open
P0031,P0032,767,31,open
P0032,P0033,953,19,open
P0033,P0034,633,83,open
P0034,P0035,745,81,open
P0035,P0036,958,60,open
P0036,P0037,153,50,open
P0037,P0038,953,8,open
P0038,P0039,721,34,open
P0039,P0040,907,80,open
P0040,P0041,811,100,open
P0041,P0042,109,50,open
P0042,P0043,595,67,open
P0043,P0044,658,85,open
P0044,P0045,135,62,open
P0045,P0046,793,70,open
P0046,P0047,979,71,open
P0047,P0048,794,75,open
P0048,P0049,81,84,open
P0049,P0050,598,44,open
P0050,P0051,855,87,open
P0051,P0052,21,58,open
P0052,P0053,880,14,open
P0053,P0054,600,50,open
P0054,P0055,843,40,open
P0055,P0056,237,57,open
P0056,P0057,252,85,open
P0057,P0058,252,76,open
P0058,P0059,998,19,open
P0059,P0060,990,14,open
P0060,P0061,90,91,open
P0061,P0062,3,60,open
P0062,P0063,664,24,open
P0063,P0064,811,63,open
P0064,P0065,353,38,open
P0065,P0066,825,8,open
P0066,P0067,756,37,open
P0067,P0068,713,11,open
P0068,P0069,610,25,open
P0069,P0070,269,16,open
P0070,P0071,786,38,open
P0071,P0072,372,41,open
P0072,P0073,10,87,open
P0073,P0074,802,38,open
P0074,P0075,929,87,open
P0075,P0076,986,15,open
P0076,P0077,878,14,open
P0077,P0078,289,40,open
P0078,P0079,958,65,open
P0079,P0080,960,75,open
P0080,P0081,177,87,open
P0081,P0082,147,83,open
P0082,P0083,638,66,open
P0083,P0084,529,79,open
P0084,P0085,87,2,open
P0085,P0086,632,14,open
P0086,P0087,451,74,open
P0087,P0088,179,30,open
P0088,P0089,878,91,open
P0089,P0090,224,96,open
P0090,P0091,107,5,open
P0091,P0092,76,30,open
P0092,P0093,940,56,open
P0093,P0094,594,14,open
P0094,P0095,90,84,open
P0095,P0096,806,94,open
P0096,P0097,627,70,open
P0097,P0098,800,28,open
P0098,P0099,862,22,open
P0099,P0100,169,16,open
P0100,P0101,458,70,open
P0101,P0102,736,27,open
P0102,P0103,558,62,open
P0103,P0104,899,77,open
P0104,P0105,548,11,open
P0105,P0106,371,34,open
P0106,P0107,160,77,open
P0107,P0108,125,20,open
P0108,P0109,538,98,open
P0109,P0110,34,12,open
P0110,P0111,277,60,open
P0111,P0112,352,88,open
P0112,P0113,728,71,open
P0113,P0114,205,58,open
P0114,P0115,243,71,open
P0115,P0116,532,83,open
P0116,P0117,68,72,open
P0117,P0118,114,47,open
P0118,P0119,960,42,open
P0119,P0120,902,21,open
P0120,P0121,893,27,open
P0121,P0122,999,87,open
P0122,P0123,608,46,open
P0123,P0124,395,37,open
P0124,P0125,825,45,open
P0125,P0126,666,52,open
P0126,P0127,118,7,open
P0127,P0128,777,47,open
P0128,P0129,252,11,open
P0129,P0130,805,62,open
P0130,P0131,273,84,open
P0131,P0132,682,26,open
P0132,P0133,847,70,open
P0133,P0134,168,17,open
P0134,P0135,450,77,open
P0135,P0136,452,46,open
P0136,P0137,288,79,open
P0137,P0138,768,11,open
P0138,P0139,63,51,open
P0139,P0140,201,64,open
P0140,P0141,737,97,open
P0141,P0142,945,82,open
P0142,P0143,756,30,open
P0143,P0144,625,29,open
P0144,P0145,837,49,open
P0145,P0146,659,25,open
P0146,P0147,937,61,open
P0147,P0148,391,90,open
P0148,P0149,229,24,open
P0149,P0150,122,96,open
P0150,P0151,48,61,open
P0151,P0152,821,84,open
P0152,P0153,983,73,open
P0153,P0154,635,99,open
P0154,P0155,667,19,open
P0155,P0156,785,59,open
P0156,P0157,75,90,open
P0157,P0158,797,79,open
P0158,P0159,746,26,open
P0159,P0160,674,79,open
P0160,P0161,367,86,open
P0161,P0162,287,55,open
P0162,P0163,469,12,open
P0163,P0164,739,22,open
P0164,P0165,643,89,open
P0165,P0166,376,58,open
P0166,P0167,438,64,open
P0167,P0168,198,10,open
P0168,P0169,280,10,open
P0169,P0170,706,27,open
P0170,P0171,811,22,open
P0171,P0172,29,1,open
P0172,P0173,393,84,open
P0173,P0174,461,30,open
P0174,P0175,635,59,open
P0175,P0176,7,48,open
P0176,P0177,233,24,open
P0177,P0178,768,81,open
P0178,P0179,546,26,open
P0179,P0180,229,68,open
P0180,P0181,970,79,open
P0181,P0182,42,18,open
P0182,P0183,750,20,open
P0183,P0184,907,5,open
P0184,P0185,23,74,open
P0185,P0186,694,51,open
P0186,P0187,644,18,open
P0187,P0188,956,75,open
P0188,P0189,836,64,open
P0189,P0190,904,84,open
P0190,P0191,502,25,open
P0191,P0192,795,14,open
P0192,P0193,962,52,open
P0193,P0194,583,25,open
P0194,P0195,996,35,open
P0195,P0196,46,10,open
P0196,P0197,750,96,open
P0197,P0198,845,8,open
P0198,P0199,254,82,open
P0199,P0200,69,43,open
P0200,P0201,664,21,open
P0201,P0202,21,76,open
P0202,P0203,60,6,open
P0203,P0204,278,1,open
P0204,P0205,830,2,open
P0205,P0206,33,38,open
P0206,P0207,390,50,open
P0207,P0208,450,61,open
P0208,P0209,221,26,open
P0209,P0210,588,70,open
P0210,P0211,313,85,open
P0211,P0212,403,88,open
P0212,P0213,154,55,open
P0213,P0214,363,27,open
P0214,P0215,523,83,open
P0215,P0216,105,99,open
P0216,P0217,924,55,open
P0217,P0218,210,70,open
P0218,P0219,191,98,open
P0219,P0220,526,5,open
P0220,P0221,201,72,open
P0221,P0222,645,52,open
P0222,P0223,797,67,open
P0223,P0224,260,51,open
P0224,P0225,26,85,open
P0225,P0226,366,43,open
P0226,P0227,946,18,open
P0227,P0228,835,65,open
P0228,P0229,950,31,open
P0229,P0230,65,32,open
P0230,P0231,336,92,open
P0231,P0232,231,44,open
P0232,P0233,52,77,open
P0233,P0234,76,5,open
P0234,P0235,588,38,open
P0235,P0236,243,76,open
P0236,P0237,940,43,open
P0237,P0238,42,9,open
P0238,P0239,21,34,open
P0239,P0240,630,78,open
P0240,P0241,917,60,open
P0241,P0242,273,91,open
P0242,P0243,517,58,open
P0243,P0244,478,44,open
P0244,P0245,224,39,open
P0245,P0246,828,56,open
P0246,P0247,980,49,open
P0247,P0248,500,99,open
P0248,P0249,124,65,open
P0249,P0250,520,29,open
P0250,P0251,859,8,open
P0251,P0252,52,14,open
P0252,P0253,742,1,open
P0253,P0254,239,78,open
P0254,P0255,843,29,open
P0255,P0256,341,48,open
P0256,P0257,356,81,open
P0257,P0258,131,38,open
P0258,P0259,643,35,open
P0259,P0260,648,47,open
P0260,P0261,755,99,open
P0261,P0262,467,20,open
P0262,P0263,40,86,open
P0263,P0264,241,33,open
P0264,P0265,416,53,open
P0265,P0266,892,7,open
P0266,P0267,516,53,open
P0267,P0268,484,46,open
P0268,P0269,178,56,open
P0269,P0270,252,80,open
P0270,P0271,999,79,open
P0271,P0272,597,51,open
P0272,P0273,372,61,open
P0273,P0274,45,45,open
P0274,P0275,383,60,open
P0275,P0276,320,9,open
P0276,P0277,982,38,open
P0277,P0278,6,82,open
P0278,P0279,76,77,open
P0279,P0280,528,92,open
P0280,P0281,480,29,open
P0281,P0282,480,49,open
P0282,P0283,899,46,open
P0283,P0284,529,21,open
P0284,P0285,206,75,open
P0285,P0286,742,45,open
P0286,P0287,55,93,open
P0287,P0288,623,90,open
P0288,P0289,975,99,open
P0289,P0290,894,37,open
P0290,P0291,211,72,open
P0291,P0292,927,49,open
P0292,P0293,752,41,open
P0293,P0294,526,98,open
P0294,P0295,552,41,open
P0295,P0296,952,69,open
P0296,P0297,625,94,open
P0297,P0298,798,33,open
P0298,P0299,833,41,open
P0299,P0300,691,25,open
P0300,P0301,832,71,open
P0301,P0302,723,18,open
P0302,P0303,63,59,open
P0303,P0304,791,52,open
P0304,P0305,688,21,open
P0305,P0306,531,32,open
P0306,P0307,837,41,open
P0307,P0308,358,90,open
P0308,P0309,854,49,open
P0309,P0310,927,76,open
P0310,P0311,701,32,open
P0311,P0312,605,35,open
P0312,P0313,367,76,open
P0313,P0314,246,7,open
P0314,P0315,371,78,open
P0315,P0316,660,75,open
P0316,P0317,984,26,open
P0317,P0318,517,19,open
P0318,P0319,498,90,open
P0319,P0320,695,94,open
P0320,P0321,460,46,open
P0321,P0322,638,50,open
P0322,P0323,431,47,open
P0323,P0324,231,67,open
P0324,P0325,309,22,open
P0325,P0326,194,90,open
P0326,P0327,557,80,open
