from_id,to_id,distance,walk_time,status
G0001,G0002,9,5,open
G0001,G0051,6,1,open
G0002,G0003,16,1,open
G0002,G0052,2,1,open
G0003,G0004,11,5,open
G0003,G0053,10,1,open
G0004,G0005,14,3,open
G0004,G0054,3,4,open
G0005,G0006,5,2,open
G0005,G0055,4,5,open
G0006,G0007,17,1,open
G0006,G0056,17,5,open
G0007,G0008,17,3,open
G0007,G0057,16,1,open
G0008,G0009,8,5,open
G0008,G0058,4,3,open
G0009,G0010,11,5,open
G0009,G0059,13,2,open
G0010,G0011,14,2,open
G0010,G0060,5,1,open
G0011,G0012,6,2,open
G0011,G0061,9,4,open
G0012,G0013,14,3,open
G0012,G0062,19,1,open
G0013,G0014,16,5,open
G0013,G0063,12,1,open
G0014,G0015,11,5,open
G0014,G0064,14,4,open
G0015,G0016,8,3,open
G0015,G0065,5,3,open
G0016,G0017,16,3,open
G0016,G0066,10,1,open
G0017,G0018,20,1,open
G0017,G0067,2,2,open
G0018,G0019,9,5,open
G0018,G0068,13,3,open
G0019,G0020,12,1,open
G0019,G0069,18,2,open
G0020,G0021,15,4,open
G0020,G0070,1,4,open
G0021,G0022,9,3,open
G0021,G0071,3,2,open
G0022,G0023,10,2,open
G0022,G0072,6,4,open
G0023,G0024,11,4,open
G0023,G0073,2,3,open
G0024,G0025,3,4,open
G0024,G0074,16,4,open
G0025,G0026,11,4,open
G0025,G0075,4,2,open
G0026,G0027,9,5,open
G0026,G0076,3,3,open
G0027,G0028,14,5,open
G0027,G0077,18,3,open
G0028,G0029,15,1,open
G0028,G0078,2,2,open
G0029,G0030,15,2,open
G0029,G0079,1,4,open
G0030,G0031,7,3,open
G0030,G0080,11,5,open
G0031,G0032,3,1,open
G0031,G0081,6,2,open
G0032,G0033,17,2,open
G0032,G0082,20,4,open
G0033,G0034,11,4,open
G0033,G0083,16,2,open
G0034,G0035,9,2,open
G0034,G0084,19,3,open
G0035,G0036,10,2,open
G0035,G0085,3,4,open
G0036,G0037,12,2,open
G0036,G0086,13,4,open
G0037,G0038,19,2,open
G0037,G0087,1,1,open
G0038,G0039,18,5,open
G0038,G0088,8,1,open
G0039,G0040,15,2,open
G0039,G0089,9,2,open
G0040,G0041,2,4,open
G0040,G0090,20,4,open
G0041,G0042,20,3,open
G0041,G0091,5,1,open
G0042,G0043,12,2,open
G0042,G0092,19,1,open
G0043,G0044,1,5,open
G0043,G0093,14,4,open
G0044,G0045,16,1,open
G0044,G0094,8,2,open
G0045,G0046,7,3,open
G0045,G0095,10,4,open
G0046,G0047,13,2,open
G0046,G0096,14,2,open
G0047,G0048,20,2,open
G0047,G0097,10,2,open
G0048,G0049,14,2,open
G0048,G0098,14,2,open
G0049,G0050,1,3,open
G0049,G0099,9,2,open
G0050,G0100,20,4,open
G0051,G0052,8,3,open
G0051,G0101,19,4,open
G0052,G0053,3,1,open
G0052,G0102,16,2,open
G0053,G0054,11,4,open
G0053,G0103,7,4,open
G0054,G0055,14,5,open
G0054,G0104,9,1,open
G0055,G0056,4,5,open
G0055,G0105,2,1,open
G0056,G0057,11,2,open
G0056,G0106,16,3,open
G0057,G0058,20,5,open
G0057,G0107,2,1,open
G0058,G0059,9,5,open
G0058,G0108,20,4,open
G0059,G0060,10,4,open
G0059,G0109,12,2,open
G0060,G0061,18,1,open
G0060,G0110,19,2,open
G0061,G0062,9,2,open
G0061,G0111,17,4,open
G0062,G0063,11,4,open
G0062,G0112,5,1,open
G0063,G0064,11,5,open
G0063,G0113,14,2,open
G0064,G0065,9,1,open
G0064,G0114,11,1,open
G0065,G0066,5,4,open
G0065,G0115,9,3,open
G0066,G0067,14,3,open
G0066,G0116,9,5,open
G0067,G0068,9,5,open
G0067,G0117,11,4,open
G0068,G0069,6,3,open
G0068,G0118,16,2,open
G0069,G0070,18,4,open
G0069,G0119,2,2,open
G0070,G0071,5,1,open
G0070,G0120,8,2,open
G0071,G0072,2,4,open
G0071,G0121,9,2,open
G0072,G0073,15,4,open
G0072,G0122,4,4,open
G0073,G0074,2,4,open
G0073,G0123,12,5,open
G0074,G0075,16,4,open
G0074,G0124,16,1,open
G0075,G0076,5,1,open
G0075,G0125,12,1,open
G0076,G0077,7,3,open
G0076,G0126,6,2,open
G0077,G0078,17,3,open
G0077,G0127,19,5,open
G0078,G0079,7,5,open
G0078,G0128,1,5,open
G0079,G0080,19,2,open
G0079,G0129,14,1,open
G0080,G0081,8,4,open
G0080,G0130,4,3,open
G0081,G0082,1,3,open
G0081,G0131,4,4,open
G0082,G0083,12,5,open
G0082,G0132,4,3,open
G0083,G0084,5,1,open
G0083,G0133,3,4,open
G0084,G0085,16,4,open
G0084,G0134,9,5,open
G0085,G0086,1,3,open
G0085,G0135,2,5,open
G0086,G0087,15,3,open
G0086,G0136,19,2,open
G0087,G0088,7,1,open
G0087,G0137,10,3,open
G0088,G0089,2,1,open
G0088,G0138,18,5,open
G0089,G0090,13,1,open
G0089,G0139,13,3,open
G0090,G0091,6,2,open
G0090,G0140,13,1,open
G0091,G0092,1,2,open
G0091,G0141,6,4,open
G0092,G0093,13,3,open
G0092,G0142,5,1,open
G0093,G0094,10,4,open
G0093,G0143,14,3,open
G0094,G0095,20,2,open
G0094,G0144,12,1,open
G0095,G0096,12,5,open
G0095,G0145,7,4,open
G0096,G0097,15,4,open
G0096,G0146,16,3,open
G0097,G0098,19,5,open
G0097,G0147,14,1,open
G0098,G0099,14,3,open
G0098,G0148,20,2,open
G0099,G0100,14,4,open
G0099,G0149,3,1,open
G0100,G0150,17,3,open
G0101,G0102,15,2,open
G0101,G0151,5,4,open
G0102,G0103,17,5,open
G0102,G0152,3,3,open
G0103,G0104,15,4,open
G0103,G0153,3,4,open
G0104,G0105,10,2,open
G0104,G0154,5,3,open
G0105,G0106,8,5,open
G0105,G0155,14,3,open
G0106,G0107,19,1,open
G0106,G0156,18,1,open
G0107,G0108,2,5,open
G0107,G0157,4,5,open
G0108,G0109,14,4,open
G0108,G0158,4,4,open
G0109,G0110,19,3,open
G0109,G0159,12,3,open
G0110,G0111,19,1,open
G0110,G0160,17,1,open
G0111,G0112,4,4,open
G0111,G0161,6,2,open
G0112,G0113,13,1,open
G0112,G0162,3,4,open
G0113,G0114,10,3,open
G0113,G0163,19,4,open
G0114,G0115,15,5,open
G0114,G0164,9,3,open
G0115,G0116,6,2,open
G0115,G0165,6,1,open
G0116,G0117,20,3,open
G0116,G0166,4,4,open
G0117,G0118,18,1,open
G0117,G0167,1,4,open
G0118,G0119,4,1,open
G0118,G0168,6,4,open
G0119,G0120,15,4,open
G0119,G0169,20,4,open
G0120,G0121,10,5,open
G0120,G0170,20,3,open
G0121,G0122,13,3,open
G0121,G0171,3,2,open
G0122,G0123,5,1,open
G0122,G0172,7,1,open
G0123,G0124,1,2,open
G0123,G0173,1,2,open
G0124,G0125,16,2,open
G0124,G0174,8,4,open
G0125,G0126,18,2,open
G0125,G0175,3,3,open
G0126,G0127,15,2,open
G0126,G0176,16,4,open
G0127,G0128,1,1,open
G0127,G0177,6,2,open
G0128,G0129,15,4,open
G0128,G0178,16,1,open
G0129,G0130,15,5,open
G0129,G0179,8,2,open
G0130,G0131,10,5,open
G0130,G0180,13,1,open
G0131,G0132,11,1,open
G0131,G0181,4,4,open
G0132,G0133,14,4,open
G0132,G0182,19,5,open
G0133,G0134,18,3,open
G0133,G0183,2,4,open
G0134,G0135,13,4,open
G0134,G0184,17,5,open
G0135,G0136,20,4,open
G0135,G0185,8,1,open
G0136,G0137,17,1,open
G0136,G0186,14,5,open
G0137,G0138,11,5,open
G0137,G0187,3,3,open
G0138,G0139,14,4,open
G0138,G0188,4,4,open
G0139,G0140,20,3,open
G0139,G0189,15,4,open
G0140,G0141,1,2,open
G0140,G0190,10,2,open
G0141,G0142,16,3,open
G0141,G0191,15,2,open
G0142,G0143,17,2,open
G0142,G0192,19,3,open
G0143,G0144,20,4,open
G0143,G0193,5,3,open
G0144,G0145,13,4,open
G0144,G0194,12,4,open
G0145,G0146,6,5,open
G0145,G0195,7,3,open
G0146,G0147,3,4,open
G0146,G0196,5,2,open
G0147,G0148,7,2,open
G0147,G0197,20,4,open
G0148,G0149,4,4,open
G0148,G0198,16,3,open
G0149,G0150,8,2,open
G0149,G0199,18,1,open
G0150,G0200,1,3,open
G0151,G0152,9,3,open
G0151,G0201,6,2,open
G0152,G0153,17,1,open
G0152,G0202,3,3,open
G0153,G0154,14,1,open
G0153,G0203,20,2,open
G0154,G0155,4,5,open
G0154,G0204,8,4,open
G0155,G0156,9,3,open
G0155,G0205,12,1,open
G0156,G0157,18,3,open
G0156,G0206,5,5,open
G0157,G0158,20,1,open
G0157,G0207,2,4,open
G0158,G0159,15,1,open
G0158,G0208,4,5,open
G0159,G0160,20,1,open
G0159,G0209,18,1,open
G0160,G0161,17,1,open
G0160,G0210,6,1,open
G0161,G0162,7,3,open
G0161,G0211,6,3,open
G0162,G0163,15,5,open
G0162,G0212,16,1,open
G0163,G0164,5,3,open
G0163,G0213,11,2,open
G0164,G0165,4,2,open
G0164,G0214,15,4,open
G0165,G0166,1,2,open
G0165,G0215,16,3,open
G0166,G0167,10,5,open
G0166,G0216,6,1,open
G0167,G0168,9,3,open
G0167,G0217,14,3,open
G0168,G0169,8,2,open
G0168,G0218,17,4,open
G0169,G0170,8,2,open
G0169,G0219,14,4,open
G0170,G0171,14,4,open
G0170,G0220,17,3,open
G0171,G0172,1,4,open
G0171,G0221,5,1,open
G0172,G0173,17,1,open
G0172,G0222,3,3,open
G0173,G0174,11,4,open
G0173,G0223,6,4,open
G0174,G0175,2,4,open
G0174,G0224,2,2,open
G0175,G0176,19,1,open
G0175,G0225,17,3,open
G0176,G0177,14,4,open
G0176,G0226,18,3,open
G0177,G0178,11,3,open
G0177,G0227,1,3,open
G0178,G0179,17,5,open
G0178,G0228,5,4,open
G0179,G0180,15,2,open
G0179,G0229,18,5,open
G0180,G0181,20,4,open
G0180,G0230,12,4,open
G0181,G0182,7,3,open
G0181,G0231,3,1,open
G0182,G0183,18,3,open
G0182,G0232,13,2,open
G0183,G0184,17,5,open
G0183,G0233,10,2,open
G0184,G0185,3,5,open
G0184,G0234,18,3,open
G0185,G0186,17,3,open
G0185,G0235,6,1,open
G0186,G0187,1,5,open
G0186,G0236,19,3,open
G0187,G0188,8,3,open
G0187,G0237,14,5,open
G0188,G0189,4,1,open
G0188,G0238,12,3,open
G0189,G0190,17,3,open
G0189,G0239,4,1,open
G0190,G0191,4,4,open
G0190,G0240,10,5,open
G0191,G0192,1,4,open
G0191,G0241,11,2,open
G0192,G0193,19,5,open
G0192,G0242,18,5,open
G0193,G0194,8,3,open
G0193,G0243,10,3,open
G0194,G0195,19,2,open
G0194,G0244,13,5,open
G0195,G0196,8,1,open
G0195,G0245,11,5,open
G0196,G0197,19,2,open
G0196,G0246,12,4,open
G0197,G0198,4,2,open
G0197,G0247,14,4,open
G0198,G0199,3,1,open
G0198,G0248,2,4,open
G0199,G0200,5,4,open
G0199,G0249,7,4,open
G0200,G0250,3,3,open
G0201,G0202,17,4,open
G0201,G0251,19,5,open
G0202,G0203,17,4,open
G0202,G0252,9,5,open
G0203,G0204,16,4,open
G0203,G0253,15,4,open
G0204,G0205,14,2,open
G0204,G0254,5,5,open
G0205,G0206,5,4,open
G0205,G0255,15,2,open
G0206,G0207,17,5,open
G0206,G0256,4,2,open
G0207,G0208,15,4,open
G0207,G0257,2,2,open
G0208,G0209,18,3,open
G0208,G0258,4,5,open
G0209,G0210,14,1,open
G0209,G0259,4,3,open
G0210,G0211,19,3,open
G0210,G0260,2,5,open
G0211,G0212,5,1,open
G0211,G0261,12,3,open
G0212,G0213,12,3,open
G0212,G0262,10,4,open
G0213,G0214,1,2,open
G0213,G0263,5,5,open
G0214,G0215,14,1,open
G0214,G0264,10,3,open
G0215,G0216,7,2,open
G0215,G0265,16,1,open
G0216,G0217,4,5,open
G0216,G0266,12,1,open
G0217,G0218,2,4,open
G0217,G0267,16,5,open
G0218,G0219,10,5,open
G0218,G0268,15,3,open
G0219,G0220,13,4,open
G0219,G0269,20,2,open
G0220,G0221,5,5,open
G0220,G0270,15,4,open
G0221,G0222,15,2,open
G0221,G0271,11,1,open
G0222,G0223,20,5,open
G0222,G0272,14,4,open
G0223,G0224,8,4,open
G0223,G0273,11,5,open
G0224,G0225,2,4,open
G0224,G0274,9,1,open
G0225,G0226,6,1,open
G0225,G0275,19,3,open
G0226,G0227,18,1,open
G0226,G0276,18,1,open
G0227,G0228,7,5,open
G0227,G0277,18,5,open
G0228,G0229,2,5,open
G0228,G0278,17,2,open
G0229,G0230,16,5,open
G0229,G0279,1,1,open
G0230,G0231,18,2,open
G0230,G0280,1,3,open
G0231,G0232,7,2,open
G0231,G0281,19,4,open
G0232,G0233,3,5,open
G0232,G0282,20,3,open
G0233,G0234,13,5,open
G0233,G0283,2,4,open
G0234,G0235,1,3,open
G0234,G0284,14,2,open
G0235,G0236,14,1,open
G0235,G0285,17,3,open
G0236,G0237,13,3,open
G0236,G0286,3,1,open
G0237,G0238,4,5,open
G0237,G0287,6,3,open
G0238,G0239,5,2,open
G0238,G0288,9,1,open
G0239,G0240,5,3,open
G0239,G0289,14,2,open
G0240,G0241,2,5,open
G0240,G0290,11,2,open
G0241,G0242,1,1,open
G0241,G0291,10,4,open
G0242,G0243,4,3,open
G0242,G0292,5,4,open
G0243,G0244,11,3,open
G0243,G0293,13,1,open
G0244,G0245,2,2,open
