place_id,display_name,category,stay_time,open_time,close_time
S001,徐泾东,Line2,0,05:30,22:45
S002,虹桥2号航站楼,Line2,0,05:35,22:50
S003,淞虹路,Line2,0,05:40,22:55
S004,中山公园,Line2|Line3|Line4,0,05:45,23:00
S005,静安寺,Line2|Line7,0,05:50,23:05
S006,人民广场,Line1|Line2|Line8,0,05:55,23:10
S007,南京东路,Line2|Line10,0,06:00,23:15
S008,陆家嘴,Line2,0,06:05,23:20
S009,世纪大道,Line2|Line4|Line6|Line9,0,06:10,23:25
S010,上海科技馆,Line2,0,06:15,23:30
S011,龙阳路,Line2|Line7|Line16|Maglev,0,06:20,23:35
S012,宜山路,Line3|Line4|Line9,0,05:30,22:40
S013,上海体育馆,Line1|Line4,0,05:35,22:45
S014,东安路,Line4|Line7,0,05:40,22:50
S015,大木桥路,Line4|Line12,0,05:45,22:55
S016,鲁班路,Line4,0,05:50,23:00
S017,西藏南路,Line4|Line8,0,05:55,23:05
S018,南浦大桥,Line4,0,06:00,23:10
S019,塘桥,Line4,0,06:05,23:15
S020,蓝村路,Line4|Line6,0,06:10,23:20
S021,浦电路,Line4|Line6,0,06:15,23:25
S022,东方体育中心,Line6|Line8|Line11,0,06:00,23:10
S023,巨峰路,Line6|Line12,0,06:10,23:20
S024,金桥路,Line6,0,06:20,23:30
