from_id,to_id,distance,walk_time,status
S001,S002,3200,4,open
S002,S003,2800,3,open
S003,S004,2500,3,open
S005,S006,2000,2,open
S007,S008,1800,2,open
S008,S009,1600,2,open
S009,S010,2400,3,open
S010,S011,2800,3,open
S012,S013,1600,2,open
S013,S014,1400,2,open
S014,S015,1300,2,open
S015,S016,1200,1,open
S016,S017,1500,2,open
S017,S018,1800,2,open
S018,S019,2000,2,open
S019,S020,1700,2,open
S020,S021,1300,1,open
S009,S021,1000,1,open
S009,S020,1100,1,open
S022,S023,3000,4,open
S023,S024,2200,3,open
S012,S009,8000,10,open
S004,S012,6000,7,open
S006,S012,7000,8,open
S005,S013,4000,5,open
S007,S017,5000,6,open
S011,S022,7000,9,open
S004,S005,2200,3,closed
S006,S007,1500,2,closed
S009,S022,5000,6,closed
